File Name,Date Modified,Date Created,Kind,Size,Files,Path,Parent Folder,Location,Comments,Description,Tags,WhereFrom,Version,Pages,Authors/Artist,Title,Album,Track NO,Genre,Year,Duration,Audio BitRate,Encoding App,Audio Sample Rate,Audio Channels,Dimensions,Width,Height,Total Pixels,Height DPI,Width DPI,Color Space,Color Profile,Alpha Channel,Creator,Video BitRate,Total BitRate,Codecs,Date Added,MD5 Checksum,SHA256 Checksum,Latitude,Longitude,MapsURL
1Password,2023-02-22 12:10:41 +0000,2023-02-22 12:10:41 +0000,Folder,Zero KB,,/Users/russ/Documents/GitHub/Russ/Icons/1Password,Icons,/Users/russ/Documents/GitHub/Russ/Icons/1Password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-22 12:10:41 +0000,,,,,
1Password_install.png,2023-02-22 12:10:41 +0000,2023-02-22 12:10:41 +0000,Png Image,124 KB,1,/Users/russ/Documents/GitHub/Russ/Icons/1Password/1Password_install.png,1Password,/Users/russ/Documents/GitHub/Russ/Icons/1Password,,,,,,,,,,,,,,,,,,512 x 512,512,512,262144,,,RGB,sRGB IEC61966-2.1,1,,,,,2023-02-22 12:10:41 +0000,,,,,
1Password_uninstall.png,2023-02-22 12:10:41 +0000,2023-02-22 12:10:41 +0000,Png Image,139 KB,1,/Users/russ/Documents/GitHub/Russ/Icons/1Password/1Password_uninstall.png,1Password,/Users/russ/Documents/GitHub/Russ/Icons/1Password,,,,,,,,,,,,,,,,,,512 x 512,512,512,262144,,,RGB,sRGB IEC61966-2.1,1,,,,,2023-02-22 12:10:41 +0000,,,,,
1Password_uninstall_animated.png,2023-02-22 12:10:41 +0000,2023-02-22 12:10:41 +0000,Png Image,1.2 MB,1,/Users/russ/Documents/GitHub/Russ/Icons/1Password/1Password_uninstall_animated.png,1Password,/Users/russ/Documents/GitHub/Russ/Icons/1Password,,,,,,,,,,,,,,,,,,512 x 512,512,512,262144,,,RGB,sRGB IEC61966-2.1,1,,,,,2023-02-22 12:10:41 +0000,,,,,
Abstract,2023-02-22 12:10:41 +0000,2023-02-22 12:10:41 +0000,Folder,Zero KB,,/Users/russ/Documents/GitHub/Russ/Icons/Abstract,Icons,/Users/russ/Documents/GitHub/Russ/Icons/Abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-22 12:10:41 +0000,,,,,
Abstract_install.png,2023-02-22 12:10:41 +0000,2023-02-22 12:10:41 +0000,Png Image,18 KB,1,/Users/russ/Documents/GitHub/Russ/Icons/Abstract/Abstract_install.png,Abstract,/Users/russ/Documents/GitHub/Russ/Icons/Abstract,,,,,,,,,,,,,,,,,,128 x 128,128,128,16384,,,RGB,sRGB IEC61966-2.1,1,,,,,2023-02-22 12:10:41 +0000,,,,,
Abstract_uninstall.png,2023-02-22 12:10:41 +0000,2023-02-22 12:10:41 +0000,Png Image,20 KB,1,/Users/russ/Documents/GitHub/Russ/Icons/Abstract/Abstract_uninstall.png,Abstract,/Users/russ/Documents/GitHub/Russ/Icons/Abstract,,,,,,,,,,,,,,,,,,128 x 128,128,128,16384,,,RGB,sRGB IEC61966-2.1,1,,,,,2023-02-22 12:10:41 +0000,,,,,
Abstract_uninstall_animated.png,2023-02-22 12:10:41 +0000,2023-02-22 12:10:41 +0000,Png Image,171 KB,1,/Users/russ/Documents/GitHub/Russ/Icons/Abstract/Abstract_uninstall_animated.png,Abstract,/Users/russ/Documents/GitHub/Russ/Icons/Abstract,,,,,,,,,,,,,,,,,,128 x 128,128,128,16384,,,RGB,sRGB IEC61966-2.1,1,,,,,2023-02-22 12:10:41 +0000,,,,,
Acorn,2023-02-22 12:10:41 +0000,2023-02-22 12:10:41 +0000,Folder,Zero KB,,/Users/russ/Documents/GitHub/Russ/Icons/Acorn,Icons,/Users/russ/Documents/GitHub/Russ/Icons/Acorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-22 12:10:41 +0000,,,,,
Acorn_install.png,2023-02-22 12:10:41 +0000,2023-02-22 12:10:41 +0000,Png Image,273 KB,1,/Users/russ/Documents/GitHub/Russ/Icons/Acorn/Acorn_install.png,Acorn,/Users/russ/Documents/GitHub/Russ/Icons/Acorn,,,,,,,,,,,,,,,,,,512 x 512,512,512,262144,,,RGB,sRGB IEC61966-2.1,1,,,,,2023-02-22 12:10:41 +0000,,,,,
